Station,SPEI,Lead Time,Model,MAE,MSE,RMSE,RRMSE (%),R2
Dhangadhi,SPEI-1,Lead 90,LSTM,0.0967070339797833,0.01430554250326179,0.11960577955626471,12.427646120366898,-0.3220723815820268
Dhangadhi,SPEI-1,Lead 90,Transformer,0.19786135263820157,0.04315010804362752,0.20772604084136279,21.583787465278235,-2.987794667259424
Dadeldhura,SPEI-1,Lead 90,Random Forest,0.09823754583170881,0.017507434072000953,0.13231566072087217,15.34281569985176,0.4948629233942715
Dadeldhura,SPEI-1,Lead 90,LSTM,0.13063229828457473,0.027099729294455588,0.16461995411995348,19.088697458940143,0.21809912427427636
Dadeldhura,SPEI-1,Lead 90,Transformer,0.13447215788295622,0.026657344349693933,0.16327077004073304,18.93225125627694,0.23086313279844206
Surkhet_Airport,SPEI-1,Lead 90,Random Forest,0.09070358283619409,0.025093878581054264,0.15841047497263008,18.11885099958605,-1.0307751803378546
Surkhet_Airport,SPEI-1,Lead 90,LSTM,0.07596498591025352,0.009398872801141994,0.09694778388979293,11.088802374607654,0.23937634646394335
Surkhet_Airport,SPEI-1,Lead 90,Transformer,0.0987119708207022,0.015286079176825345,0.12363688437042299,14.141478247242137,-0.23705827685056202
Biratnagar_Airport,SPEI-1,Lead 90,Random Forest,0.07895765623733185,0.008570922285430731,0.09257927567998538,10.736128811101787,-0.14308895356121365
Biratnagar_Airport,SPEI-1,Lead 90,LSTM,0.08015496517792896,0.008773870431284785,0.09366894059016993,10.862493839892007,-0.17015579373847722
Biratnagar_Airport,SPEI-1,Lead 90,Transformer,0.09208273997373188,0.01404349547001656,0.11850525503122872,13.742683483564932,-0.872956492494452
Khumaltar,SPEI-1,Lead 90,Random Forest,0.07234706901947342,0.01031617641803847,0.10156857987605454,11.712625048024906,0.4399820734980824
Khumaltar,SPEI-1,Lead 90,LSTM,0.09823561973493693,0.013452750497668406,0.11598599267872137,13.37520367742289,0.26971184534236725
Khumaltar,SPEI-1,Lead 90,Transformer,0.11359004994009293,0.02024728700661328,0.1422929619011892,16.408855098253074,-0.09913239433421506
Dipayal,SPEI-1,Lead 90,Random Forest,0.199821217565615,0.5959447563022184,0.7719745826788719,114.3808446252957,-0.053377343730857785
Dipayal,SPEI-1,Lead 90,LSTM,0.18987614816501214,0.5968790246393052,0.7725794616991221,114.47046748955148,-0.055028733543159625
Dipayal,SPEI-1,Lead 90,Transformer,0.20509985205573095,0.6062267636634151,0.7786056535008047,115.3633478040284,-0.07155156791492923
